,xG,npxG,goals,xA,assists,key_passes,shots,xGChain,minutes,team_xGA,team_xG,opponent_xGA,opponent_xG,team_goals_conceded,team_goals_scored,saves,opponent_attack_strength,opponent_defense_strength,points
3561,0.008616110309958458,0.008616110309958458,0,0.0,0,0,1,0.35378697514534,90,4.03429,0.8698739999999999,43.14924539672211,49.14518130477518,4.0,0.0,0.0,1150.0,1210.0,1.0
3827,0.0,0.0,0,0.0,0,0,0,0.19803017377853396,90,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,5.0
3860,0.04538629576563835,0.04538629576563835,0,0.7107192277908325,0,3,1,0.7561055421829224,66,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,2.0
3879,0.0,0.0,0,0.0,0,0,0,0.3303980231285095,90,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,7.0
3885,0.0,0.0,0,0.0,0,0,0,0.10023059695959093,90,1.56529,0.705566,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1130.0,1220.0,1.0
486,0.1213707998394966,0.1213707998394966,1,0.03693640604615212,1,1,2,0.31293892860412603,90,1.35217,2.5062900000000004,43.14924539672211,49.14518130477518,3.0,3.0,0.0,1150.0,1210.0,12.0
3896,0.0,0.0,0,0.0,0,0,0,0.0,90,0.595216,0.390629,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1150.0,1210.0,6.0
3907,0.10023059695959093,0.10023059695959093,1,0.0,0,0,2,0.10023059695959093,60,1.56529,0.705566,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1130.0,1220.0,3.0
3938,0.0802014023065567,0.0802014023065567,0,0.0,0,0,1,0.0802014023065567,8,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,1.0
4008,0.07485705614089966,0.07485705614089966,0,0.0,0,0,1,0.11234402656555176,17,2.1065,0.533575,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,1.0
4031,0.0,0.0,0,0.011511257849633694,0,1,0,0.024144470691680908,90,2.30744,0.168796,43.14924539672211,49.14518130477518,3.0,0.0,0.0,1130.0,1220.0,2.0
4054,0.01755128987133503,0.01755128987133503,0,0.10210494697093964,0,2,1,0.06531243771314621,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,3.0
497,1.0274173021316528,1.0274173021316528,1,0.04261737316846848,0,1,3,1.490863800048828,90,0.33118800000000004,2.08868,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,8.0
4071,0.0,0.0,0,0.0,0,0,0,0.0,21,2.5369200000000003,1.10374,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,1.0
4091,0.1211596131324768,0.1211596131324768,0,0.0,0,0,2,0.8261159062385559,90,1.1781700000000002,2.73834,43.14924539672211,49.14518130477518,1.0,3.0,0.0,1150.0,1210.0,2.0
4105,0.0,0.0,0,0.0,0,0,0,0.024144470691680908,90,2.30744,0.168796,43.14924539672211,49.14518130477518,3.0,0.0,0.0,1130.0,1220.0,1.0
4126,0.0,0.0,0,0.12745292484760284,0,1,0,0.6535619497299194,90,0.7162649999999999,1.56162,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1150.0,1210.0,2.0
446,0.2697100341320038,0.2697100341320038,0,0.016197293996810913,0,1,1,0.2859073281288147,71,1.85362,0.815375,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,2.0
4137,0.11097031086683272,0.11097031086683272,0,0.6872331500053406,0,3,1,0.944750726222992,90,1.1185,2.0069,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1130.0,1220.0,1.0
4147,0.0,0.0,0,0.0,0,0,0,0.1154126301407814,90,0.7357670000000001,0.529676,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,5.0
4164,0.09420936554670334,0.09420936554670334,0,0.038839932531118386,0,1,1,0.10182249546051024,90,1.25206,0.661744,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1150.0,1210.0,2.0
4190,0.0,0.0,0,0.0,0,0,0,0.01933305151760578,62,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,1.0
434,0.8562056422233582,0.8562056422233582,1,0.0,0,0,3,0.9316111207008362,90,2.5369200000000003,1.10374,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1150.0,1210.0,9.0
4217,0.018525943160057068,0.018525943160057068,1,0.10665205121040344,0,2,1,0.6378258466720581,90,0.7162649999999999,1.56162,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1150.0,1210.0,9.0
4228,0.06538800895214081,0.06538800895214081,0,0.0,0,0,1,1.0549217462539673,90,1.1185,2.0069,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1130.0,1220.0,2.0
4082,0.0,0.0,0,0.314034640789032,0,2,0,0.314034640789032,90,1.85362,0.815375,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,2.0
4251,0.03405173495411873,0.03405173495411873,0,0.0,0,0,1,0.04266784340143204,90,4.03429,0.8698739999999999,43.14924539672211,49.14518130477518,4.0,0.0,0.0,1150.0,1210.0,0.0
3813,0.024144470691680908,0.024144470691680908,0,0.039525993168354034,0,1,1,0.06367046386003494,69,2.30744,0.168796,43.14924539672211,49.14518130477518,2.0,0.0,0.0,1130.0,1220.0,2.0
3736,0.06905817985534668,0.06905817985534668,0,0.2010566592216492,0,1,2,0.2913795411586761,84,1.25206,0.661744,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1150.0,1210.0,2.0
586,0.0,0.0,0,0.4339025616645813,0,2,0,0.4339025616645813,90,4.03429,0.8698739999999999,43.14924539672211,49.14518130477518,4.0,0.0,0.0,1150.0,1210.0,2.0
3190,0.0,0.0,0,0.0,0,0,0,0.0,15,1.94485,2.25414,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,1.0
3215,0.08664830029010773,0.08664830029010773,0,0.4532895684242249,0,2,1,0.559451699256897,90,0.747166,1.51332,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,8.0
3229,0.0,0.0,0,0.0,0,0,0,0.1152585744857788,90,0.998072,0.394113,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
3310,0.0,0.0,0,0.0,0,0,0,0.0,21,2.30744,0.168796,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1130.0,1220.0,1.0
3330,0.0,0.0,0,0.0,0,0,0,0.0374869704246521,90,2.1065,0.533575,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1150.0,1210.0,1.0
3339,0.0,0.0,0,0.01933305151760578,0,1,0,0.01933305151760578,90,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,6.0
564,0.0,0.0,0,0.0,0,0,0,0.0,77,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,3.0
3360,0.040733877569437034,0.040733877569437034,0,0.7787638902664185,1,2,1,0.8975455760955809,43,1.94485,2.25414,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,4.0
3371,0.031438414007425315,0.031438414007425315,0,0.12215834856033325,0,2,1,0.08165207505226135,90,2.5369200000000003,1.10374,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1150.0,1210.0,2.0
3386,0.0,0.0,0,0.08166459202766417,0,1,0,0.06052190065383911,90,1.85362,0.815375,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,3.0
3774,0.0,0.0,0,0.0,0,0,0,0.012777367606759071,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,3.0
3429,0.015355477109551431,0.015355477109551431,0,0.0,0,0,1,0.015355477109551431,90,0.679649,1.19792,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,3.0
3460,0.0,0.0,0,0.0,0,0,0,0.0,90,0.679649,1.19792,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,5.0
3472,0.03375592827796936,0.03375592827796936,0,0.0,0,0,1,0.0,90,1.39037,1.98553,43.14924539672211,49.14518130477518,0.0,3.0,0.0,1130.0,1220.0,6.0
545,0.02069220505654812,0.02069220505654812,0,0.0,0,0,1,0.02069220505654812,55,2.1065,0.533575,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1150.0,1210.0,1.0
3496,0.0,0.0,0,0.0,0,0,0,0.0,90,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,6.0
542,0.376481831073761,0.376481831073761,0,0.04538629576563835,0,1,6,1.13288676738739,90,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,3.0
3528,0.0,0.0,0,0.010234605520963669,0,1,0,0.14022845029830933,55,2.5061400000000003,0.77074,43.14924539672211,49.14518130477518,4.0,2.0,0.0,1130.0,1220.0,-1.0
3542,0.02677031420171261,0.02677031420171261,0,0.4744618833065033,0,2,1,1.0719656944274902,90,0.710778,1.9617,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1150.0,1210.0,9.0
526,0.15276192128658295,0.15276192128658295,0,0.5598291754722595,1,1,2,1.1768085956573486,90,0.33118800000000004,2.08868,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,7.0
3644,0.0,0.0,0,0.011810826137661934,0,1,0,0.10023059695959093,90,1.56529,0.705566,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1130.0,1220.0,2.0
3661,0.022047551348805428,0.022047551348805428,0,0.0,0,0,1,0.07335326075553894,90,0.595216,0.390629,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1150.0,1210.0,3.0
516,0.36829620599746704,0.36829620599746704,1,0.02018554694950581,0,1,2,1.2307332754135132,90,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,11.0
3442,0.0,0.0,0,0.24589373171329496,0,3,0,0.4655168354511261,90,1.39037,1.98553,43.14924539672211,49.14518130477518,0.0,3.0,0.0,1130.0,1220.0,3.0
4269,0.0,0.0,0,0.0,0,0,0,0.0,65,1.93838,0.315121,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
419,0.029169837012887,0.029169837012887,0,0.0,0,0,1,0.2057447284460068,90,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,0.0,1130.0,1220.0,1.0
4287,0.0,0.0,0,0.0,0,0,0,0.0,57,0.667131,0.144994,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,1.0
4879,0.12638123333454132,0.12638123333454132,0,0.0,0,0,1,0.09261831641197203,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,3.0
4904,0.0,0.0,0,0.0,0,0,0,0.2918100953102112,90,2.4339,0.9950399999999999,43.14924539672211,49.14518130477518,3.0,1.0,1.0,1150.0,1210.0,1.0
4909,0.0,0.0,0,0.0,0,0,0,0.0,90,0.661135,1.11296,43.14924539672211,49.14518130477518,1.0,1.0,4.0,1130.0,1220.0,3.0
4927,0.0,0.0,0,0.0,0,0,0,0.0,90,1.56529,0.705566,43.14924539672211,49.14518130477518,2.0,1.0,1.0,1130.0,1220.0,1.0
4944,0.0,0.0,0,0.0,0,0,0,0.0,90,0.595216,0.390629,43.14924539672211,49.14518130477518,0.0,2.0,2.0,1150.0,1210.0,6.0
4991,0.0,0.0,0,0.0,0,0,0,0.04542940855026245,76,2.1628700000000003,0.126327,43.14924539672211,49.14518130477518,3.0,0.0,0.0,1150.0,1210.0,2.0
5004,0.02730503864586353,0.02730503864586353,0,0.013567895628511906,0,1,1,0.07094540446996689,28,0.998072,0.394113,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,1.0
310,0.09361450374126434,0.09361450374126434,0,0.024144470691680908,0,1,1,0.15728497505187988,90,2.30744,0.168796,43.14924539672211,49.14518130477518,3.0,0.0,0.0,1130.0,1220.0,2.0
5040,0.0,0.0,0,0.0,0,0,0,0.0,90,1.35217,2.5062900000000004,43.14924539672211,49.14518130477518,3.0,3.0,5.0,1150.0,1210.0,2.0
5065,0.0,0.0,0,0.0,0,0,0,0.011331332847476006,90,1.32902,2.06377,43.14924539672211,49.14518130477518,2.0,1.0,1.0,1130.0,1220.0,1.0
4816,0.0,0.0,0,0.0,0,0,0,0.0,6,1.25206,0.661744,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1150.0,1210.0,1.0
